1,爱,ài
2,八,bā
3,爸,bà
4,吧,ba
5,白,bái
6,百,bǎi
7,班,bān
8,半,bàn
9,帮,bāng
10,包,bāo
11,杯,bēi
12,北,běi
13,备,bèi
14,本,běn
15,比,bǐ
16,边,biān
17,别,bié
18,病,bìng
19,不,bù
20,菜,cài
21,茶,chá
22,差,chà
23,常,cháng
24,场,chǎng
25,唱,chàng
26,车,chē
27,吃,chī
28,出,chū
29,穿,chuān
30,床,chuáng
31,次,cì
32,从,cóng
33,错,cuò
34,答,dá
35,打,dǎ
36,大,dà
37,蛋,dàn
38,到,dào
39,道,dào
40,得,dé
41,地,de
42,的,de
43,等,děng
44,弟,dì
45,第,dì
46,点,diǎn
47,电,diàn
48,店,diàn
49,东,dōng
50,动,dòng
51,都,dōu
52,读,dú
53,对,duì
54,多,duō
55,饿,è
56,儿,ér
57,二,èr
58,饭,fàn
59,方,fāng
60,房,fáng
61,放,fàng
62,飞,fēi
63,非,fēi
64,分,fēn
65,风,fēng
66,服,fú
67,干,gān
68,高,gāo
69,告,gào
70,哥,gē
71,歌,gē
72,个,gè
73,给,gěi
74,跟,gēn
75,工,gōng
76,关,guān
77,馆,guǎn
78,贵,guì
79,国,guó
80,果,guǒ
81,过,guò
82,还,hái
83,孩,hái
84,汉,hàn
85,好,hǎo
86,号,hào
87,喝,hē
88,和,hé
89,很,hěn
90,后,hòu
91,候,hòu
92,花,huā
93,话,huà
94,坏,huài
95,欢,huān
96,回,huí
97,会,huì
98,火,huǒ
99,机,jī
100,鸡,jī
101,几,jǐ
102,记,jì
103,家,jiā
104,假,jiǎ
105,间,jiān
106,见,jiàn
107,教,jiāo
108,叫,jiào
109,觉,jiào
110,姐,jiě
111,介,jiè
112,今,jīn
113,进,jìn
114,京,jīng
115,净,jìng
116,九,jiǔ
117,就,jiù
118,开,kāi
119,看,kàn
120,考,kǎo
121,渴,kě
122,客,kè
123,课,kè
124,口,kǒu
125,块,kuài
126,快,kuài
127,来,lái
128,老,lǎo
129,了,le
130,累,lèi
131,冷,lěng
132,里,lǐ
133,两,liǎng
134,零,líng
135,六,liù
136,楼,lóu
137,路,lù
138,妈,mā
139,马,mǎ
140,吗,ma
141,买,mǎi
142,慢,màn
143,忙,máng
144,毛,máo
145,么,má
146,没,méi
147,妹,mèi
148,门,mén
149,们,men
150,米,mǐ
151,面,miàn
152,名,míng
153,明,míng
154,拿,ná
155,哪,nǎ
156,那,nà
157,奶,nǎi
158,男,nán
159,南,nán
160,难,nán
161,脑,nǎo
162,呢,ne
163,能,néng
164,你,nǐ
165,年,nián
166,您,nín
167,牛,niú
168,女,nǚ
169,旁,páng
170,跑,pǎo
171,朋,péng
172,票,piào
173,七,qī
174,期,qī
175,起,qǐ
176,气,qì
177,汽,qì
178,前,qián
179,钱,qián
180,请,qǐng
181,球,qiú
182,去,qù
183,热,rè
184,人,rén
185,认,rèn
186,日,rì
187,肉,ròu
188,三,sān
189,山,shān
190,商,shāng
191,上,shàng
192,少,shǎo
193,绍,shào
194,身,shēn
195,什,shén
196,生,shēng
197,师,shī
198,十,shí
199,时,shí
200,识,shí
201,事,shì
202,试,shì
203,视,shì
204,是,shì
205,手,shǒu
206,书,shū
207,树,shù
208,谁,shéi
209,水,shuǐ
210,睡,shuì
211,说,shuō
212,四,sì
213,送,sòng
214,诉,sù
215,岁,suì
216,他,tā
217,她,tā
218,太,tài
219,体,tǐ
220,天,tiān
221,条,tiáo
222,听,tīng
223,同,tóng
224,图,tú
225,外,wài
226,玩,wán
227,晚,wǎn
228,网,wǎng
229,忘,wàng
230,文,wén
231,问,wèn
232,我,wǒ
233,五,wǔ
234,午,wǔ
235,西,xī
236,息,xī
237,习,xí
238,洗,xǐ
239,喜,xǐ
240,系,jì
241,下,xià
242,先,xiān
243,现,xiàn
244,想,xiǎng
245,小,xiǎo
246,校,xiào
247,笑,xiào
248,些,xiē
249,写,xiě
250,谢,xiè
251,新,xīn
252,星,xīng
253,行,xíng
254,兴,xīng
255,休,xiū
256,学,xué
257,样,yàng
258,要,yào
259,爷,yé
260,也,yě
261,页,yè
262,一,yī
263,衣,yī
264,医,yī
265,影,yǐng
266,用,yòng
267,友,yǒu
268,有,yǒu
269,右,yòu
270,雨,yǔ
271,语,yǔ
272,元,yuán
273,远,yuǎn
274,院,yuàn
275,月,yuè
276,再,zài
277,在,zài
278,早,zǎo
279,怎,zěn
280,站,zhàn
281,找,zhǎo
282,这,zhè
283,着,zhe
284,真,zhēn
285,正,zhèng
286,知,zhī
287,中,zhōng
288,重,zhòng
289,住,zhù
290,准,zhǔn
291,桌,zhuō
292,子,zǐ
293,字,zì
294,走,zǒu
295,最,zuì
296,昨,zuó
297,左,zuǒ
298,作,zuò
299,坐,zuò
300,做,zuò
